,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.8949,0.830299,0.758097,0.811496,microsoft/Multilingual-MiniLM-L12-H384
1,0.956889,0.840827,0.774982,0.889828,xlm-roberta-base
2,0.947027,0.837765,0.769679,0.876867,bert-base-multilingual-cased
3,0.895745,0.827532,0.754714,0.817132,microsoft/Multilingual-MiniLM-L12-H384
4,0.938856,0.819081,0.748817,0.870386,distilbert-base-multilingual-cased
5,0.961961,0.834235,0.766948,0.894618,google/rembert
6,0.953508,0.84468,0.779198,0.879121,xlm-roberta-base
7,0.954635,0.8456,0.777144,0.876021,microsoft/mdeberta-v3-base
8,0.956889,0.848528,0.782187,0.883066,microsoft/mdeberta-v3-base
9,0.959707,0.84605,0.778131,0.888701,xlm-roberta-base
10,0.957171,0.853227,0.785483,0.883629,google/rembert
11,0.938574,0.819439,0.747677,0.862778,distilbert-base-multilingual-cased
12,0.955762,0.84188,0.772599,0.887856,microsoft/mdeberta-v3-base
13,0.939983,0.815245,0.749158,0.865596,distilbert-base-multilingual-cased
14,0.956889,0.841657,0.773386,0.878276,google/rembert
15,0.957453,0.844557,0.775007,0.884756,xlm-roberta-base
16,0.948154,0.839287,0.768823,0.877712,bert-base-multilingual-cased
17,0.956326,0.846827,0.777177,0.882502,microsoft/mdeberta-v3-base
18,0.943364,0.834511,0.766764,0.868695,bert-base-multilingual-cased
19,0.899408,0.828307,0.7589,0.823612,microsoft/Multilingual-MiniLM-L12-H384
20,0.899972,0.826448,0.752751,0.822485,microsoft/Multilingual-MiniLM-L12-H384
21,0.957735,0.842545,0.778316,0.890392,xlm-roberta-base
22,0.96027,0.84235,0.769601,0.892646,google/rembert
23,0.947591,0.837998,0.76438,0.874894,bert-base-multilingual-cased
24,0.943364,0.824362,0.750933,0.867005,distilbert-base-multilingual-cased
25,0.899127,0.825752,0.752715,0.814314,microsoft/Multilingual-MiniLM-L12-H384
26,0.945618,0.837626,0.767777,0.87574,bert-base-multilingual-cased
27,0.962806,0.83802,0.76985,0.89011,google/rembert
28,0.957453,0.844797,0.775398,0.883066,microsoft/mdeberta-v3-base
29,0.936038,0.824202,0.750665,0.861651,distilbert-base-multilingual-cased
