,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.792833,0.834065,0.803003,0.789474,google/rembert
1,0.768197,0.612967,0.583403,0.758119,bert-base-multilingual-cased
2,0.758119,0.565369,0.522808,0.7514,distilbert-base-multilingual-cased
3,0.790594,0.821335,0.794913,0.789474,google/rembert
4,0.772676,0.727719,0.698701,0.768197,microsoft/Multilingual-MiniLM-L12-H384
5,0.787234,0.794477,0.749033,0.783875,xlm-roberta-base
6,0.779395,0.731732,0.685108,0.780515,xlm-roberta-base
7,0.793953,0.813253,0.781363,0.792833,microsoft/mdeberta-v3-base
8,0.787234,0.805376,0.77448,0.783875,microsoft/mdeberta-v3-base
9,0.725644,0.572431,0.521189,0.725644,distilbert-base-multilingual-cased
10,0.758119,0.602197,0.556763,0.7514,bert-base-multilingual-cased
11,0.792833,0.768672,0.72759,0.789474,xlm-roberta-base
12,0.792833,0.810583,0.779667,0.790594,microsoft/mdeberta-v3-base
13,0.734602,0.557796,0.530801,0.729003,distilbert-base-multilingual-cased
14,0.792833,0.743594,0.718826,0.791713,xlm-roberta-base
15,0.743561,0.707053,0.671096,0.741321,microsoft/Multilingual-MiniLM-L12-H384
16,0.765957,0.617857,0.575508,0.756999,bert-base-multilingual-cased
17,0.7514,0.663623,0.63989,0.75252,microsoft/Multilingual-MiniLM-L12-H384
18,0.772676,0.639732,0.580874,0.769317,bert-base-multilingual-cased
19,0.780515,0.638043,0.597088,0.769317,bert-base-multilingual-cased
20,0.715566,0.660613,0.646348,0.709966,microsoft/Multilingual-MiniLM-L12-H384
21,0.74916,0.665624,0.630545,0.74804,microsoft/Multilingual-MiniLM-L12-H384
22,0.792833,0.830476,0.804672,0.788354,google/rembert
23,0.793953,0.776479,0.743246,0.790594,microsoft/mdeberta-v3-base
24,0.792833,0.852338,0.824203,0.790594,google/rembert
25,0.784994,0.770497,0.730602,0.782755,xlm-roberta-base
26,0.75252,0.58405,0.552826,0.74916,distilbert-base-multilingual-cased
27,0.762598,0.556493,0.517683,0.756999,distilbert-base-multilingual-cased
28,0.790594,0.799299,0.770138,0.787234,microsoft/mdeberta-v3-base
29,0.795073,0.82781,0.815359,0.795073,google/rembert
