,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.894336,0.773285,0.700481,0.808679,xlm-roberta-base
1,0.561285,0.590351,0.517847,0.494505,distilbert-base-multilingual-cased
2,0.755988,0.694881,0.624576,0.690054,microsoft/Multilingual-MiniLM-L12-H384
3,0.605241,0.612656,0.528365,0.528318,distilbert-base-multilingual-cased
4,0.904198,0.794734,0.733607,0.814877,microsoft/mdeberta-v3-base
5,0.677937,0.655289,0.583236,0.596788,bert-base-multilingual-cased
6,0.906453,0.783155,0.703084,0.820513,google/rembert
7,0.915751,0.799711,0.724748,0.832911,google/rembert
8,0.605241,0.594733,0.518608,0.537053,distilbert-base-multilingual-cased
9,0.880811,0.776821,0.70043,0.795999,xlm-roberta-base
10,0.925895,0.792074,0.713503,0.834038,google/rembert
11,0.586926,0.593476,0.510453,0.505776,distilbert-base-multilingual-cased
12,0.887574,0.778916,0.702577,0.805297,xlm-roberta-base
13,0.761341,0.707366,0.639922,0.683291,microsoft/Multilingual-MiniLM-L12-H384
14,0.914624,0.799104,0.726616,0.828966,google/rembert
15,0.910961,0.797289,0.735379,0.825021,microsoft/mdeberta-v3-base
16,0.897718,0.777691,0.704061,0.800507,xlm-roberta-base
17,0.751479,0.702894,0.629593,0.67681,microsoft/Multilingual-MiniLM-L12-H384
18,0.668076,0.68315,0.611596,0.587208,bert-base-multilingual-cased
19,0.700197,0.675749,0.607865,0.614821,bert-base-multilingual-cased
20,0.663567,0.666055,0.593368,0.588898,bert-base-multilingual-cased
21,0.8949,0.790196,0.726432,0.814032,microsoft/mdeberta-v3-base
22,0.916314,0.791744,0.733475,0.837419,microsoft/mdeberta-v3-base
23,0.906453,0.789001,0.723041,0.829248,microsoft/mdeberta-v3-base
24,0.904762,0.792681,0.716629,0.811778,google/rembert
25,0.87743,0.769846,0.696058,0.783319,xlm-roberta-base
26,0.577346,0.594269,0.516369,0.504367,distilbert-base-multilingual-cased
27,0.756551,0.712423,0.647339,0.688926,microsoft/Multilingual-MiniLM-L12-H384
28,0.769231,0.709161,0.634809,0.697098,microsoft/Multilingual-MiniLM-L12-H384
29,0.657087,0.669325,0.591202,0.569174,bert-base-multilingual-cased
