,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.107843,0.116721,0.102575,0.107843,facebook/xglm-564M
1,0.107843,0.115869,0.102575,0.107843,facebook/xglm-564M
2,0.107843,0.116091,0.102575,0.107843,facebook/xglm-564M
3,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
4,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
5,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
6,0.107843,0.050504,0.102575,0.107843,facebook/xglm-564M
7,0.107843,0.107739,0.102575,0.107843,facebook/xglm-564M
8,0.107843,0.115671,0.102575,0.107843,facebook/xglm-564M
9,0.107843,0.115054,0.102575,0.107843,facebook/xglm-564M
10,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
11,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
12,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
13,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
14,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
15,0.107843,0.117326,0.102575,0.107843,facebook/xglm-564M
16,0.107843,0.117128,0.102575,0.107843,facebook/xglm-564M
17,0.107843,0.117092,0.102575,0.107843,facebook/xglm-564M
18,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
19,0.107843,0.1174,0.102575,0.107843,facebook/xglm-564M
20,0.107843,0.117314,0.102575,0.107843,facebook/xglm-564M
21,0.107843,0.115619,0.102575,0.107843,facebook/xglm-564M
22,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
23,0.107843,0.132466,0.102575,0.107843,facebook/xglm-564M
24,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
25,0.107843,0.117128,0.102575,0.107843,facebook/xglm-564M
26,0.107843,0.11635,0.102575,0.107843,facebook/xglm-564M
27,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
28,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
29,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
30,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
31,0.107843,0.115696,0.102575,0.107843,facebook/xglm-564M
32,0.107843,0.117165,0.102575,0.107843,facebook/xglm-564M
33,0.107843,0.10437,0.102575,0.107843,facebook/xglm-564M
34,0.107843,0.109194,0.102575,0.107843,facebook/xglm-564M
35,0.107843,0.117141,0.102575,0.107843,facebook/xglm-564M
36,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
37,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
38,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
39,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
40,0.107843,0.115239,0.102575,0.107843,facebook/xglm-564M
41,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
42,0.107843,0.115263,0.102575,0.107843,facebook/xglm-564M
43,0.107843,0.114682,0.102575,0.107843,facebook/xglm-564M
44,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
45,0.107843,0.108841,0.102575,0.107843,facebook/xglm-564M
46,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
47,0.107843,0.117326,0.102575,0.107843,facebook/xglm-564M
48,0.107843,0.117326,0.102575,0.107843,facebook/xglm-564M
49,0.107843,0.110469,0.102575,0.107843,facebook/xglm-564M
50,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
51,0.107843,0.115437,0.102575,0.107843,facebook/xglm-564M
52,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
53,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
54,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
55,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
56,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
57,0.107843,0.115433,0.102575,0.107843,facebook/xglm-564M
58,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
59,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
60,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
61,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
62,0.107843,0.110377,0.102575,0.107843,facebook/xglm-564M
63,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
64,0.107843,0.054506,0.102575,0.107843,facebook/xglm-564M
65,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
66,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
67,0.107843,0.117326,0.102575,0.107843,facebook/xglm-564M
68,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
69,0.107843,0.117265,0.102575,0.107843,facebook/xglm-564M
70,0.107843,0.115683,0.102575,0.107843,facebook/xglm-564M
71,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
72,0.107843,0.117351,0.102575,0.107843,facebook/xglm-564M
73,0.107843,0.117154,0.102575,0.107843,facebook/xglm-564M
74,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
75,0.107843,0.112277,0.102575,0.107843,facebook/xglm-564M
76,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
77,0.107843,0.107378,0.102575,0.107843,facebook/xglm-564M
78,0.107843,0.116252,0.102575,0.107843,facebook/xglm-564M
79,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
80,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
81,0.107843,0.116749,0.102575,0.107843,facebook/xglm-564M
82,0.107843,0.116906,0.102575,0.107843,facebook/xglm-564M
83,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
84,0.107843,0.115425,0.102575,0.107843,facebook/xglm-564M
85,0.107843,0.116919,0.102575,0.107843,facebook/xglm-564M
86,0.107843,0.117351,0.102575,0.107843,facebook/xglm-564M
87,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
88,0.107843,0.117301,0.102575,0.107843,facebook/xglm-564M
89,0.107843,0.116931,0.102575,0.107843,facebook/xglm-564M
90,0.107843,0.117165,0.102575,0.107843,facebook/xglm-564M
91,0.107843,0.115267,0.102575,0.107843,facebook/xglm-564M
92,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
93,0.107843,0.123074,0.102575,0.107843,facebook/xglm-564M
94,0.107843,0.105617,0.102575,0.107843,facebook/xglm-564M
95,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
96,0.107843,0.113291,0.102575,0.107843,facebook/xglm-564M
97,0.107843,0.115239,0.102575,0.107843,facebook/xglm-564M
98,0.107843,0.063382,0.102575,0.107843,facebook/xglm-564M
99,0.107843,0.106412,0.102575,0.107843,facebook/xglm-564M
100,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
101,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
102,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
103,0.107843,0.116079,0.102575,0.107843,facebook/xglm-564M
104,0.107843,0.117141,0.102575,0.107843,facebook/xglm-564M
105,0.107843,0.117265,0.102575,0.107843,facebook/xglm-564M
106,0.107843,0.117326,0.102575,0.107843,facebook/xglm-564M
107,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
108,0.107843,0.109049,0.102575,0.107843,facebook/xglm-564M
109,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
110,0.107843,0.116919,0.102575,0.107843,facebook/xglm-564M
111,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
112,0.107843,0.115413,0.102575,0.107843,facebook/xglm-564M
113,0.107843,0.117128,0.102575,0.107843,facebook/xglm-564M
114,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
115,0.107843,0.117178,0.102575,0.107843,facebook/xglm-564M
116,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
117,0.107843,0.115425,0.102575,0.107843,facebook/xglm-564M
118,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
119,0.107843,0.117338,0.102575,0.107843,facebook/xglm-564M
120,0.815777,0.851976,0.768356,0.779526,google/mt5-base
121,0.779526,0.395257,0.768356,0.779526,google/mt5-base
122,0.816005,0.843779,0.768356,0.779526,google/mt5-base
123,0.816233,0.845439,0.768356,0.779526,google/mt5-base
124,0.816005,0.852205,0.768356,0.779526,google/mt5-base
125,0.816005,0.852063,0.768356,0.779526,google/mt5-base
126,0.816005,0.852205,0.768356,0.779526,google/mt5-base
127,0.784314,0.371641,0.768356,0.779526,google/mt5-base
128,0.808482,0.755782,0.768356,0.779526,google/mt5-base
129,0.814637,0.835336,0.768356,0.779526,google/mt5-base
130,0.815777,0.836884,0.768356,0.779526,google/mt5-base
131,0.816005,0.852205,0.768356,0.779526,google/mt5-base
132,0.816005,0.851957,0.768356,0.779526,google/mt5-base
133,0.816233,0.852134,0.768356,0.779526,google/mt5-base
134,0.816005,0.852205,0.768356,0.779526,google/mt5-base
135,0.816005,0.849656,0.768356,0.779526,google/mt5-base
136,0.816005,0.851515,0.768356,0.779526,google/mt5-base
137,0.815777,0.847922,0.768356,0.779526,google/mt5-base
138,0.815777,0.851852,0.768356,0.779526,google/mt5-base
139,0.816005,0.852205,0.768356,0.779526,google/mt5-base
140,0.80187,0.857656,0.768356,0.779526,google/mt5-base
141,0.816005,0.851957,0.768356,0.779526,google/mt5-base
142,0.815777,0.851638,0.768356,0.779526,google/mt5-base
143,0.816005,0.852205,0.768356,0.779526,google/mt5-base
144,0.813269,0.837696,0.768356,0.779526,google/mt5-base
145,0.816005,0.852205,0.768356,0.779526,google/mt5-base
146,0.816005,0.848612,0.768356,0.779526,google/mt5-base
147,0.815549,0.851533,0.768356,0.779526,google/mt5-base
148,0.816005,0.852205,0.768356,0.779526,google/mt5-base
149,0.816233,0.852382,0.768356,0.779526,google/mt5-base
150,0.816005,0.852205,0.768356,0.779526,google/mt5-base
151,0.816005,0.852258,0.768356,0.779526,google/mt5-base
152,0.816005,0.841257,0.768356,0.779526,google/mt5-base
153,0.820337,0.852081,0.768356,0.779526,google/mt5-base
154,0.813953,0.84593,0.768356,0.779526,google/mt5-base
155,0.815093,0.755564,0.768356,0.779526,google/mt5-base
156,0.820565,0.847588,0.768356,0.779526,google/mt5-base
157,0.816005,0.851852,0.768356,0.779526,google/mt5-base
158,0.816005,0.852152,0.768356,0.779526,google/mt5-base
159,0.816005,0.852205,0.768356,0.779526,google/mt5-base
160,0.816005,0.851833,0.768356,0.779526,google/mt5-base
161,0.816005,0.843605,0.768356,0.779526,google/mt5-base
162,0.816005,0.847359,0.768356,0.779526,google/mt5-base
163,0.815777,0.845587,0.768356,0.779526,google/mt5-base
164,0.815321,0.810757,0.768356,0.779526,google/mt5-base
165,0.816005,0.851833,0.768356,0.779526,google/mt5-base
166,0.809622,0.810399,0.768356,0.779526,google/mt5-base
167,0.816005,0.852205,0.768356,0.779526,google/mt5-base
168,0.816005,0.849408,0.768356,0.779526,google/mt5-base
169,0.815321,0.850595,0.768356,0.779526,google/mt5-base
170,0.810534,0.781331,0.768356,0.779526,google/mt5-base
171,0.816005,0.852205,0.768356,0.779526,google/mt5-base
172,0.816233,0.824178,0.768356,0.779526,google/mt5-base
173,0.815777,0.852276,0.768356,0.779526,google/mt5-base
174,0.816005,0.852063,0.768356,0.779526,google/mt5-base
175,0.816005,0.852081,0.768356,0.779526,google/mt5-base
176,0.816005,0.852205,0.768356,0.779526,google/mt5-base
177,0.816005,0.85201,0.768356,0.779526,google/mt5-base
178,0.816917,0.830023,0.768356,0.779526,google/mt5-base
179,0.816005,0.852205,0.768356,0.779526,google/mt5-base
180,0.816005,0.852205,0.768356,0.779526,google/mt5-base
181,0.816005,0.852205,0.768356,0.779526,google/mt5-base
182,0.816005,0.852205,0.768356,0.779526,google/mt5-base
183,0.80301,0.77972,0.768356,0.779526,google/mt5-base
184,0.816005,0.852205,0.768356,0.779526,google/mt5-base
185,0.781122,0.416909,0.768356,0.779526,google/mt5-base
186,0.816005,0.852205,0.768356,0.779526,google/mt5-base
187,0.816005,0.85171,0.768356,0.779526,google/mt5-base
188,0.816005,0.850434,0.768356,0.779526,google/mt5-base
189,0.816005,0.852134,0.768356,0.779526,google/mt5-base
190,0.816005,0.84826,0.768356,0.779526,google/mt5-base
191,0.815777,0.844376,0.768356,0.779526,google/mt5-base
192,0.816005,0.852205,0.768356,0.779526,google/mt5-base
193,0.815777,0.851905,0.768356,0.779526,google/mt5-base
194,0.815093,0.851781,0.768356,0.779526,google/mt5-base
195,0.816005,0.852205,0.768356,0.779526,google/mt5-base
196,0.816005,0.819156,0.768356,0.779526,google/mt5-base
197,0.816005,0.851957,0.768356,0.779526,google/mt5-base
198,0.812358,0.805354,0.768356,0.779526,google/mt5-base
199,0.816005,0.844009,0.768356,0.779526,google/mt5-base
200,0.816005,0.851852,0.768356,0.779526,google/mt5-base
201,0.816005,0.852205,0.768356,0.779526,google/mt5-base
202,0.816005,0.849118,0.768356,0.779526,google/mt5-base
203,0.816005,0.849889,0.768356,0.779526,google/mt5-base
204,0.816005,0.852205,0.768356,0.779526,google/mt5-base
205,0.816233,0.834665,0.768356,0.779526,google/mt5-base
206,0.815321,0.841584,0.768356,0.779526,google/mt5-base
207,0.816005,0.852028,0.768356,0.779526,google/mt5-base
208,0.816005,0.852205,0.768356,0.779526,google/mt5-base
209,0.816005,0.852152,0.768356,0.779526,google/mt5-base
210,0.816005,0.851019,0.768356,0.779526,google/mt5-base
211,0.815549,0.847993,0.768356,0.779526,google/mt5-base
212,0.815777,0.83063,0.768356,0.779526,google/mt5-base
213,0.816005,0.85201,0.768356,0.779526,google/mt5-base
214,0.816461,0.879002,0.768356,0.779526,google/mt5-base
215,0.816461,0.722503,0.768356,0.779526,google/mt5-base
216,0.816005,0.852258,0.768356,0.779526,google/mt5-base
217,0.811674,0.843605,0.768356,0.779526,google/mt5-base
218,0.815549,0.832951,0.768356,0.779526,google/mt5-base
219,0.779526,0.395257,0.768356,0.779526,google/mt5-base
220,0.815321,0.738094,0.768356,0.779526,google/mt5-base
221,0.816005,0.852205,0.768356,0.779526,google/mt5-base
222,0.816233,0.852347,0.768356,0.779526,google/mt5-base
223,0.816005,0.851517,0.768356,0.779526,google/mt5-base
