,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.992,0.85508,0.791383,0.97,distilbert-base-multilingual-cased
1,0.97,0.379085,0.791383,0.97,distilbert-base-multilingual-cased
2,0.992,0.823289,0.791383,0.97,distilbert-base-multilingual-cased
3,0.992,0.858607,0.791383,0.97,distilbert-base-multilingual-cased
4,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
5,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
6,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
7,0.966,0.31606,0.791383,0.97,distilbert-base-multilingual-cased
8,0.992,0.787692,0.791383,0.97,distilbert-base-multilingual-cased
9,0.992,0.821721,0.791383,0.97,distilbert-base-multilingual-cased
10,0.992,0.854508,0.791383,0.97,distilbert-base-multilingual-cased
11,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
12,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
13,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
14,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
15,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
16,0.992,0.860656,0.791383,0.97,distilbert-base-multilingual-cased
17,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
18,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
19,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
20,0.994,0.864754,0.791383,0.97,distilbert-base-multilingual-cased
21,0.992,0.856996,0.791383,0.97,distilbert-base-multilingual-cased
22,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
23,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
24,0.992,0.869298,0.791383,0.97,distilbert-base-multilingual-cased
25,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
26,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
27,0.992,0.857582,0.791383,0.97,distilbert-base-multilingual-cased
28,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
29,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
30,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
31,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
32,0.992,0.82377,0.791383,0.97,distilbert-base-multilingual-cased
33,0.992,0.862564,0.791383,0.97,distilbert-base-multilingual-cased
34,0.992,0.855087,0.791383,0.97,distilbert-base-multilingual-cased
35,0.992,0.795501,0.791383,0.97,distilbert-base-multilingual-cased
36,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
37,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
38,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
39,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
40,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
41,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
42,0.99,0.857873,0.791383,0.97,distilbert-base-multilingual-cased
43,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
44,0.992,0.844262,0.791383,0.97,distilbert-base-multilingual-cased
45,0.992,0.85041,0.791383,0.97,distilbert-base-multilingual-cased
46,0.99,0.826667,0.791383,0.97,distilbert-base-multilingual-cased
47,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
48,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
49,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
50,0.992,0.790364,0.791383,0.97,distilbert-base-multilingual-cased
51,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
52,0.992,0.807321,0.791383,0.97,distilbert-base-multilingual-cased
53,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
